,    Order |  ,    Club |  ,    State |  ,    Competition |  ,    Expenditures |  ,    Arrivals |  ,    Income  |  ,    Departures |  ,    Balance |  ,    Season |  , Inflacion + Income |  , Inflacion + Expenditures |  , Inflacion + Balance |  
1555,82,KRCGenk,Belgium,JupilerProLeague,2500000.0,15,0.0,13,-2500000.0,2002,0.0,3320877.8,-3320877.8
1556,82,RSCAnderlecht,Belgium,JupilerProLeague,4850000.0,18,24500000.0,16,19650000.0,2001,33227296.99,6577648.59,26649648.4
1557,82,StandardLiège,Belgium,JupilerProLeague,4500000.0,13,0.0,14,-4500000.0,2000,0.0,6259563.96,-6259563.96
1558,83,FKKrasnodar,Russia,PremierLiga,25500000.0,20,11900000.0,20,-13600000.0,2018,12085727.04,25897986.51,-13812259.47
1559,83,FulhamFC,England,Championship,19570000.0,19,18200000.0,28,-1370000.0,2017,18732627.35,20142720.73,-1410093.38
1560,83,GuangzhouEvergrandeTaobao,China,SuperLeague,20050000.0,21,4120000.0,18,-15940000.0,2016,4287205.1,20863704.41,-16586905.15
1561,83,VfBStuttgart,Germany,Bundesliga,15670000.0,22,20550000.0,21,4880000.0,2015,21437574.15,16346802.29,5090771.87
1562,83,BurnleyFC,England,PremierLeague,12620000.0,24,0.0,23,-12620000.0,2014,0.0,13142678.05,-13142678.05
1563,83,SportClubInternacional,Brazil,SérieA,10250000.0,33,37910000.0,41,27660000.0,2013,39814715.91,10764991.77,29049724.14
1564,83,AlIttihadJeddah,SaudiArabia,ProfessionalLeague,10560000.0,19,300000.0,23,-10260000.0,2012,322059.39,11336490.39,-11014431.01
1565,83,BorussiaDortmund,Germany,Bundesliga,11230000.0,13,12140000.0,11,915000.0,2011,13391772.64,12387941.25,1009346.95
1566,83,PSVEindhoven,Netherlands,Eredivisie,9500000.0,15,6300000.0,15,-3200000.0,2010,7103937.17,10712286.2,-3608349.04
1567,83,StandardLiège,Belgium,JupilerProLeague,8690000.0,24,350000.0,19,-8340000.0,2009,398287.5,9888909.68,-9490622.18
1568,83,AlJazira(AbuDhabi),UnitedArabEmirates,UAEGulfLeague,10500000.0,13,0.0,5,-10500000.0,2008,0.0,12146485.14,-12146485.14
1569,83,ReadingFC,England,PremierLeague,12100000.0,40,5700000.0,35,-6400000.0,2007,6798564.04,14432039.45,-7633475.41
1570,83,ASNancyLorraine,France,Ligue1,7800000.0,13,2800000.0,6,-5000000.0,2006,3404004.46,9482583.86,-6078579.4
1571,83,1.FCKöln,Germany,Bundesliga,5550000.0,21,400000.0,19,-5150000.0,2005,497322.47,6900349.31,-6403026.84
1572,83,SportingCP,Portugal,LigaNOS,3250000.0,31,4800000.0,27,1550000.0,2004,6108693.6,4136094.62,1972598.97
1573,83,DeportivodeLaCoruña,Spain,LaLiga,2500000.0,19,19750000.0,13,17250000.0,2003,25642627.84,3245902.26,22396725.58
1574,83,ClubAtléticoBocaJuniors,Argentina,TorneoFinal,2350000.0,43,12450000.0,31,10100000.0,2002,16537971.42,3121625.13,13416346.29
1575,83,FCCopenhagen,Denmark,Superligaen,4730000.0,15,2450000.0,14,-2280000.0,2001,3322729.7,6414902.64,-3092172.94
1576,83,EintrachtFrankfurt,Germany,Bundesliga,4230000.0,17,305000.0,9,-3920000.0,2000,424259.34,5883990.12,-5452775.72
1577,84,SPAL,Italy,SerieA,23900000.0,52,2300000.0,49,-21600000.0,2018,2335896.82,24273014.81,-21937117.98
1578,84,ASSaintÉtienne,France,Ligue1,19300000.0,24,16500000.0,24,-2800000.0,2017,16982876.44,19864819.11,-2881942.67
1579,84,VfBStuttgart,Germany,2.Bundesliga,19650000.0,23,45350000.0,24,25700000.0,2016,47190473.56,20447470.9,26743002.66
