173,TorneoFinal,2012,Argentina,128306.26,137740.79
174,UAEArabianGulfLeague,2012,UnitedArabEmirates,50555.56,54272.97
175,Bundesliga,2012,Austria,41959.46,45044.79
176,SuperLeague,2012,Switzerland,203251.53,218196.88
177,SerieB,2012,Italy,67295.67,72244.01
178,Tunisia Ligue Professionnelle 1,2012,Ligue Professionnelle 1,37323.08,40067.49
179,Liga1Betano,2012,Romania,47822.74,51339.2
180,Eliteserien,2012,Norway,150400.0,161459.11
181,1.Lig,2012,Turkey,19278.75,20696.34
182,PremierLeague,2011,England,781143.38,861688.18
183,SerieA,2011,Italy,596633.99,658153.76
184,LaLiga,2011,Spain,872861.11,962863.06
185,Ligue1,2011,France,601172.64,663160.4
186,Bundesliga,2011,Germany,693709.09,765238.42
187,PremierLiga,2011,Russia,194897.96,214994.16
188,SüperLig,2011,Turkey,229271.84,252912.39
189,LigaNOS,2011,Portugal,259332.06,286072.16
190,CampeonatoBrasileiroSérieA,2011,Brazil,125388.24,138317.19
191,Championship,2011,England,184313.47,203318.3
192,Eredivisie,2011,Netherlands,412400.0,454923.15
193,PremierLiga,2011,Ukraine,118184.82,130371.02
194,ChineseSuperLeague,2011,China,55668.45,61408.5
195,SerieB,2011,Italy,93981.48,103672.05
196,JupilerProLeague,2011,Belgium,322596.15,355859.5
197,SaudiProfessionalLeague,2011,SaudiArabia,70726.26,78018.94
198,QatarStarsLeague,2011,Qatar,26041.67,28726.86
199,Ligue2,2011,France,206647.4,227955.11
200,SuperLeague,2011,Greece,55105.26,60787.25
201,Liga1Betano,2011,Romania,40100.0,44234.77
202,TorneoFinal,2011,Argentina,114786.97,126622.81
203,2.Bundesliga,2011,Germany,89704.8,98954.39
204,SuperLeague,2011,Switzerland,197393.62,217747.15
205,ScottishPremiership,2011,Scotland,62676.06,69138.67
206,KLeague1,2011,KoreaSouth,29532.97,32578.15
207,1.HNL,2011,Croatia,22033.1,24304.96
208,PremierLeague,2010,England,687701.61,775458.58
209,SerieA,2010,Italy,484383.39,546195.11
210,LaLiga,2010,Spain,999099.68,1126593.86
211,PremierLiga,2010,Russia,290354.84,327406.75
212,Bundesliga,2010,Germany,777806.69,877061.88
213,Ligue1,2010,France,718862.88,810596.3
214,SüperLig,2010,Turkey,80786.03,91095.06
215,PremierLiga,2010,Ukraine,122910.96,138595.51
216,CampeonatoBrasileiroSérieA,2010,Brazil,134136.9,151253.99
217,LigaNOS,2010,Portugal,343769.84,387637.99
218,Championship,2010,England,95267.38,107424.36
219,Eredivisie,2010,Netherlands,233067.48,262809.01
220,TorneoFinal,2010,Argentina,218443.98,246319.42
221,SerieB,2010,Italy,104960.63,118354.56
222,JupilerProLeague,2010,Belgium,159934.85,180343.99
223,Liga1Betano,2010,Romania,79688.11,89857.03
224,ChineseSuperLeague,2010,China,15744.68,17753.84
225,ScottishPremiership,2010,Scotland,132403.43,149299.31
226,SuperLeague,2010,Greece,29764.15,33562.33
227,Ekstraklasa,2010,Poland,61108.18,68906.14
228,Bundesliga,2010,Austria,136666.67,154106.57
229,LeagueOne,2010,England,32440.73,36580.46
230,2.Bundesliga,2010,Germany,65444.02,73795.27
231,Ligatha'Al,2010,Israel,44043.89,49664.29
232,SuperLeague,2010,Switzerland,133540.37,150581.34
233,1.HNL,2010,Croatia,88550.3,99850.12
234,PremierLeague,2009,England,1037888.45,1181079.99
235,SerieA,2009,Italy,691173.33,786530.57
236,LaLiga,2009,Spain,805163.4,916247.2
237,Ligue1,2009,France,679612.9,773375.22
238,Bundesliga,2009,Germany,591371.68,672959.86
239,PremierLiga,2009,Russia,329553.26,375019.85
240,SüperLig,2009,Turkey,82377.21,93742.32
241,Championship,2009,England,225854.34,257014.18
242,LigaNOS,2009,Portugal,204624.75,232855.65
243,Eredivisie,2009,Netherlands,299296.3,340588.5
244,PremierLiga,2009,Ukraine,214849.5,244491.06
245,CampeonatoBrasileiroSérieA,2009,Brazil,125579.36,142904.82
246,SuperLeague,2009,Greece,50025.45,56927.17
247,SerieB,2009,Italy,84404.07,96048.82
248,TorneoFinal,2009,Argentina,199510.64,227035.98
249,JupilerProLeague,2009,Belgium,50359.71,57307.55
250,ScottishPremiership,2009,Scotland,114896.27,130747.85
251,SaudiProfessionalLeague,2009,SaudiArabia,0.0,0.0
252,Liga1Betano,2009,Romania,60454.55,68795.11
253,2.Bundesliga,2009,Germany,68257.84,77674.98
254,LeagueOne,2009,England,39955.88,45468.37
255,LaLiga2,2009,Spain,102505.69,116647.82
256,Bundesliga,2009,Austria,57793.1,65766.49
257,SuperLeague,2009,Switzerland,108967.39,124001.0
258,J1League,2009,Japan,82723.4,94136.28
259,1.HNL,2009,Croatia,82413.79,93783.95
260,PremierLeague,2008,England,1120610.53,1296331.34
261,SerieA,2008,Italy,558691.59,646298.96
262,LaLiga,2008,Spain,1142085.89,1321174.22
263,Ligue1,2008,France,827117.65,956816.4
264,Bundesliga,2008,Germany,487364.02,563786.65
265,PremierLiga,2008,Russia,543759.69,629025.62
266,Eredivisie,2008,Netherlands,467526.5,540838.45
267,SüperLig,2008,Turkey,41446.03,47945.1
268,Championship,2008,England,139413.3,161274.43
269,LigaNOS,2008,Portugal,193009.48,223274.93
270,SuperLeague,2008,Greece,106876.71,123635.85
271,Liga1Betano,2008,Romania,115023.36,133059.96
272,PremierLiga,2008,Ukraine,75302.49,87110.53
